title,description,required_skills
Data Analyst,Analyze business data to uncover trends and support decision-making. Build dashboards and reports for stakeholders across departments.,"SQL, Excel, Tableau, Python, Statistical Analysis"
Senior Data Analyst,Lead analytics projects end-to-end and mentor junior analysts. Work with product and engineering teams to define KPIs and measure success.,"SQL, Python, Power BI, A/B Testing, Data Modeling"
Data Scientist,Build predictive models and machine learning pipelines to solve business problems. Collaborate with engineering to deploy models to production.,"Python, Machine Learning, Scikit-learn, SQL, Statistics"
Senior Data Scientist,Drive ML strategy and design experiments. Develop advanced models for recommendation and personalization systems at scale.,"Python, Deep Learning, TensorFlow, MLflow, Feature Engineering"
Machine Learning Engineer,Design and maintain ML infrastructure and pipelines. Package and serve models at scale in cloud environments.,"Python, MLOps, Docker, Kubernetes, AWS SageMaker"
Data Engineer,Build and maintain scalable data pipelines and warehouse infrastructure. Ensure data quality and availability across the organization.,"Python, SQL, Apache Spark, Airflow, dbt"
Senior Data Engineer,Architect data platforms and lead migration of legacy pipelines to modern cloud-native solutions. Mentor junior engineers.,"Spark, Kafka, Snowflake, Terraform, Python"
Analytics Engineer,Transform raw data into clean well-documented datasets. Own the analytics layer using dbt and work closely with analysts and scientists.,"dbt, SQL, Snowflake, Python, Data Modeling"
Business Intelligence Developer,Develop and maintain BI dashboards and data models. Translate business requirements into actionable reports for leadership.,"Power BI, SQL, DAX, Data Warehousing, Excel"
Data Science Manager,Lead a team of data scientists and set roadmap priorities. Align ML initiatives with business goals and present findings to C-level stakeholders.,"Python, Machine Learning, Team Leadership, Stakeholder Management, SQL"
NLP Engineer,Develop natural language processing models for text classification and entity extraction. Build and maintain conversational AI applications.,"Python, NLP, Transformers, HuggingFace, spaCy"
Computer Vision Engineer,Build and deploy image recognition and object detection models for industrial and consumer-facing applications.,"Python, PyTorch, OpenCV, YOLO, CNNs"
Quantitative Analyst,Develop statistical and mathematical models for financial risk assessment and pricing. Build and backtest algorithmic trading strategies.,"Python, R, Statistics, Time Series, Financial Modeling"
Data Architect,Design enterprise-wide data architecture including data lakes and warehouses. Define data standards and governance frameworks.,"Data Modeling, SQL, Cloud Platforms, Data Governance, ETL Design"
MLOps Engineer,Build CI/CD pipelines for machine learning models and monitor model drift. Ensure reliable model deployment and automated retraining workflows.,"MLflow, Docker, Kubernetes, Python, CI/CD"
Data Governance Analyst,Establish and enforce data quality standards and metadata management. Drive compliance policies across the data platform.,"Data Governance, SQL, Collibra, Data Quality, GDPR"
Research Scientist,Conduct research in deep learning and prototype novel architectures. Publish findings and advance the company AI capabilities.,"Python, PyTorch, Research, Mathematics, Deep Learning"
Product Analyst,Analyze user behavior and product metrics to guide product decisions. Design and evaluate A/B tests across the product lifecycle.,"SQL, Python, A/B Testing, Google Analytics, Data Visualization"
Data Platform Engineer,Build and operate the internal data platform used by analysts scientists and engineers. Focus on reliability scalability and developer experience.,"Python, Spark, Databricks, AWS, Infrastructure as Code"
AI/ML Product Manager,Define the roadmap for AI-powered product features. Work cross-functionally with data science engineering and design to ship ML-driven experiences.,"Product Management, Machine Learning Fundamentals, SQL, Agile, Stakeholder Communication"
